120 | 120 g de sucre semoule @ QUANTITY
1,5 | 1,5 litre 6 tasses de bouillon de poulet @ QUANTITY
litre | 1,5 litre 6 tasses de bouillon de poulet @ UNIT
6 | 1,5 litre 6 tasses de bouillon de poulet @ NONE
tasses | 1,5 litre 6 tasses de bouillon de poulet @ NONE
de | 1,5 litre 6 tasses de bouillon de poulet @ NONE
bouillon | 1,5 litre 6 tasses de bouillon de poulet @ INGREDIENT
de | 1,5 litre 6 tasses de bouillon de poulet @ NONE
poulet | 1,5 litre 6 tasses de bouillon de poulet @ INGREDIENT
1 | 1 boite de 540 ml 19 oz de haricots rouges, rinces et egouttes @ QUANTITY
boite | 1 boite de 540 ml 19 oz de haricots rouges, rinces et egouttes @ UNIT
de | 1 boite de 540 ml 19 oz de haricots rouges, rinces et egouttes @ NONE
540 | 1 boite de 540 ml 19 oz de haricots rouges, rinces et egouttes @ NONE
ml | 1 boite de 540 ml 19 oz de haricots rouges, rinces et egouttes @ NONE
19 | 1 boite de 540 ml 19 oz de haricots rouges, rinces et egouttes @ NONE
oz | 1 boite de 540 ml 19 oz de haricots rouges, rinces et egouttes @ NONE
de | 1 boite de 540 ml 19 oz de haricots rouges, rinces et egouttes @ NONE
haricots | 1 boite de 540 ml 19 oz de haricots rouges, rinces et egouttes @ INGREDIENT
rouges, | 1 boite de 540 ml 19 oz de haricots rouges, rinces et egouttes @ INGREDIENT
rinces | 1 boite de 540 ml 19 oz de haricots rouges, rinces et egouttes @ NONE
et | 1 boite de 540 ml 19 oz de haricots rouges, rinces et egouttes @ NONE
egouttes | 1 boite de 540 ml 19 oz de haricots rouges, rinces et egouttes @ NONE
1 | 1 boite de 398 ml 14 oz de tomates en des @ QUANTITY
boite | 1 boite de 398 ml 14 oz de tomates en des @ UNIT
de | 1 boite de 398 ml 14 oz de tomates en des @ NONE
398 | 1 boite de 398 ml 14 oz de tomates en des @ NONE
ml | 1 boite de 398 ml 14 oz de tomates en des @ NONE
14 | 1 boite de 398 ml 14 oz de tomates en des @ NONE
oz | 1 boite de 398 ml 14 oz de tomates en des @ NONE
de | 1 boite de 398 ml 14 oz de tomates en des @ NONE
tomates | 1 boite de 398 ml 14 oz de tomates en des @ INGREDIENT
en | 1 boite de 398 ml 14 oz de tomates en des @ NONE
des | 1 boite de 398 ml 14 oz de tomates en des @ NONE
225 | 225 g 1/2 lb de mahi-mahi ou autre poisson blanc a chair ferme, coupe en cubes @ QUANTITY
g | 225 g 1/2 lb de mahi-mahi ou autre poisson blanc a chair ferme, coupe en cubes @ UNIT
1/2 | 225 g 1/2 lb de mahi-mahi ou autre poisson blanc a chair ferme, coupe en cubes @ NONE
lb | 225 g 1/2 lb de mahi-mahi ou autre poisson blanc a chair ferme, coupe en cubes @ NONE
de | 225 g 1/2 lb de mahi-mahi ou autre poisson blanc a chair ferme, coupe en cubes @ NONE
mahi-mahi | 225 g 1/2 lb de mahi-mahi ou autre poisson blanc a chair ferme, coupe en cubes @ INGREDIENT
ou | 225 g 1/2 lb de mahi-mahi ou autre poisson blanc a chair ferme, coupe en cubes @ OR
autre | 225 g 1/2 lb de mahi-mahi ou autre poisson blanc a chair ferme, coupe en cubes @ NONE
poisson | 225 g 1/2 lb de mahi-mahi ou autre poisson blanc a chair ferme, coupe en cubes @ INGREDIENT
blanc | 225 g 1/2 lb de mahi-mahi ou autre poisson blanc a chair ferme, coupe en cubes @ INGREDIENT
a | 225 g 1/2 lb de mahi-mahi ou autre poisson blanc a chair ferme, coupe en cubes @ NONE
chair | 225 g 1/2 lb de mahi-mahi ou autre poisson blanc a chair ferme, coupe en cubes @ NONE
ferme, | 225 g 1/2 lb de mahi-mahi ou autre poisson blanc a chair ferme, coupe en cubes @ NONE
coupe | 225 g 1/2 lb de mahi-mahi ou autre poisson blanc a chair ferme, coupe en cubes @ NONE
en | 225 g 1/2 lb de mahi-mahi ou autre poisson blanc a chair ferme, coupe en cubes @ NONE
cubes | 225 g 1/2 lb de mahi-mahi ou autre poisson blanc a chair ferme, coupe en cubes @ NONE
 | 225 g 1/2 lb de mahi-mahi ou autre poisson blanc a chair ferme, coupe en cubes @ NONE
1 | 1 courgette, coupee en des @ QUANTITY
courgette, | 1 courgette, coupee en des @ INGREDIENT
coupee | 1 courgette, coupee en des @ NONE
en | 1 courgette, coupee en des @ NONE
des | 1 courgette, coupee en des @ NONE
 | 1 courgette, coupee en des @ NONE
10 | 10 g  1/4 tasse de feuilles de basilic frais dechirees @ QUANTITY
g | 10 g  1/4 tasse de feuilles de basilic frais dechirees @ UNIT
 | 10 g  1/4 tasse de feuilles de basilic frais dechirees @ NONE
1/4 | 10 g  1/4 tasse de feuilles de basilic frais dechirees @ NONE
tasse | 10 g  1/4 tasse de feuilles de basilic frais dechirees @ NONE
de | 10 g  1/4 tasse de feuilles de basilic frais dechirees @ NONE
feuilles | 10 g  1/4 tasse de feuilles de basilic frais dechirees @ NONE
de | 10 g  1/4 tasse de feuilles de basilic frais dechirees @ NONE
basilic | 10 g  1/4 tasse de feuilles de basilic frais dechirees @ INGREDIENT
frais | 10 g  1/4 tasse de feuilles de basilic frais dechirees @ NONE
dechirees | 10 g  1/4 tasse de feuilles de basilic frais dechirees @ NONE
Sel | Sel et poivre @ INGREDIENT
et | Sel et poivre @ AND
poivre | Sel et poivre @ INGREDIENT
6 | 6 filets de poisson @ QUANTITY
filets | 6 filets de poisson @ NONE
de | 6 filets de poisson @ NONE
poisson | 6 filets de poisson @ INGREDIENT
2 | 2 bonnes cuilleres a soupe de moutarde de Dijon @ QUANTITY
bonnes | 2 bonnes cuilleres a soupe de moutarde de Dijon @ NONE
cuilleres | 2 bonnes cuilleres a soupe de moutarde de Dijon @ UNIT
a | 2 bonnes cuilleres a soupe de moutarde de Dijon @ UNIT
soupe | 2 bonnes cuilleres a soupe de moutarde de Dijon @ UNIT
de | 2 bonnes cuilleres a soupe de moutarde de Dijon @ NONE
moutarde | 2 bonnes cuilleres a soupe de moutarde de Dijon @ INGREDIENT
de | 2 bonnes cuilleres a soupe de moutarde de Dijon @ NONE
Dijon | 2 bonnes cuilleres a soupe de moutarde de Dijon @ INGREDIENT
2 | 2 bonnes cuilleres a soupe de creme fraiche allegee @ QUANTITY
bonnes | 2 bonnes cuilleres a soupe de creme fraiche allegee @ NONE
cuilleres | 2 bonnes cuilleres a soupe de creme fraiche allegee @ UNIT
a | 2 bonnes cuilleres a soupe de creme fraiche allegee @ UNIT
soupe | 2 bonnes cuilleres a soupe de creme fraiche allegee @ UNIT
de | 2 bonnes cuilleres a soupe de creme fraiche allegee @ NONE
creme | 2 bonnes cuilleres a soupe de creme fraiche allegee @ INGREDIENT
fraiche | 2 bonnes cuilleres a soupe de creme fraiche allegee @ NONE
allegee | 2 bonnes cuilleres a soupe de creme fraiche allegee @ NONE
1 | 1 cuilleres a soupe de cornichons haches @ QUANTITY
cuilleres | 1 cuilleres a soupe de cornichons haches @ UNIT
a | 1 cuilleres a soupe de cornichons haches @ UNIT
soupe | 1 cuilleres a soupe de cornichons haches @ UNIT
de | 1 cuilleres a soupe de cornichons haches @ NONE
cornichons | 1 cuilleres a soupe de cornichons haches @ INGREDIENT
haches | 1 cuilleres a soupe de cornichons haches @ NONE
poivre | poivre @ INGREDIENT
sel | sel @ INGREDIENT
454 | 454 g 1 lb de filet d'aiglefin @ QUANTITY
g | 454 g 1 lb de filet d'aiglefin @ UNIT
1 | 454 g 1 lb de filet d'aiglefin @ NONE
lb | 454 g 1 lb de filet d'aiglefin @ NONE
de | 454 g 1 lb de filet d'aiglefin @ NONE
filet | 454 g 1 lb de filet d'aiglefin @ NONE
d' | 454 g 1 lb de filet d'aiglefin @ NONE
aiglefin | 454 g 1 lb de filet d'aiglefin @ INGREDIENT
 | 454 g 1 lb de filet d'aiglefin @ NONE
60 | 60 ml ¼ tasse de salsa verde du commerce @ QUANTITY
ml | 60 ml ¼ tasse de salsa verde du commerce @ UNIT
¼ | 60 ml ¼ tasse de salsa verde du commerce @ NONE
tasse | 60 ml ¼ tasse de salsa verde du commerce @ NONE
de | 60 ml ¼ tasse de salsa verde du commerce @ NONE
salsa | 60 ml ¼ tasse de salsa verde du commerce @ INGREDIENT
verde | 60 ml ¼ tasse de salsa verde du commerce @ INGREDIENT
du | 60 ml ¼ tasse de salsa verde du commerce @ NONE
commerce | 60 ml ¼ tasse de salsa verde du commerce @ NONE
1 | 1  oignon rouge, emince @ QUANTITY
 | 1  oignon rouge, emince @ NONE
oignon | 1  oignon rouge, emince @ INGREDIENT
rouge, | 1  oignon rouge, emince @ INGREDIENT
emince | 1  oignon rouge, emince @ NONE
250 | 250 ml 1 tasse d'eau glacee @ QUANTITY
ml | 250 ml 1 tasse d'eau glacee @ UNIT
1 | 250 ml 1 tasse d'eau glacee @ NONE
tasse | 250 ml 1 tasse d'eau glacee @ NONE
d' | 250 ml 1 tasse d'eau glacee @ NONE
eau | 250 ml 1 tasse d'eau glacee @ INGREDIENT
glacee | 250 ml 1 tasse d'eau glacee @ NONE
60 | 60 ml ¼ tasse de jus de lime @ QUANTITY
ml | 60 ml ¼ tasse de jus de lime @ UNIT
¼ | 60 ml ¼ tasse de jus de lime @ NONE
tasse | 60 ml ¼ tasse de jus de lime @ NONE
de | 60 ml ¼ tasse de jus de lime @ NONE
jus | 60 ml ¼ tasse de jus de lime @ NONE
de | 60 ml ¼ tasse de jus de lime @ NONE
lime | 60 ml ¼ tasse de jus de lime @ INGREDIENT
2,5 | 2,5 ml ½ c. a the de sel @ QUANTITY
ml | 2,5 ml ½ c. a the de sel @ UNIT
½ | 2,5 ml ½ c. a the de sel @ NONE
c. | 2,5 ml ½ c. a the de sel @ NONE
a | 2,5 ml ½ c. a the de sel @ NONE
the | 2,5 ml ½ c. a the de sel @ NONE
de | 2,5 ml ½ c. a the de sel @ NONE
sel | 2,5 ml ½ c. a the de sel @ INGREDIENT
220 | 220 g 4 tasses de laitue iceberg emincee @ QUANTITY
g | 220 g 4 tasses de laitue iceberg emincee @ UNIT
4 | 220 g 4 tasses de laitue iceberg emincee @ NONE
tasses | 220 g 4 tasses de laitue iceberg emincee @ NONE
de | 220 g 4 tasses de laitue iceberg emincee @ NONE
laitue | 220 g 4 tasses de laitue iceberg emincee @ INGREDIENT
iceberg | 220 g 4 tasses de laitue iceberg emincee @ INGREDIENT
emincee | 220 g 4 tasses de laitue iceberg emincee @ NONE
1 | 1  concombre anglais, coupe en julienne @ QUANTITY
 | 1  concombre anglais, coupe en julienne @ NONE
concombre | 1  concombre anglais, coupe en julienne @ INGREDIENT
anglais, | 1  concombre anglais, coupe en julienne @ INGREDIENT
coupe | 1  concombre anglais, coupe en julienne @ NONE
en | 1  concombre anglais, coupe en julienne @ NONE
julienne | 1  concombre anglais, coupe en julienne @ NONE
30 | 30 g 1 tasse de coriandre fraiche ciselee @ QUANTITY
g | 30 g 1 tasse de coriandre fraiche ciselee @ UNIT
1 | 30 g 1 tasse de coriandre fraiche ciselee @ NONE
tasse | 30 g 1 tasse de coriandre fraiche ciselee @ NONE
de | 30 g 1 tasse de coriandre fraiche ciselee @ NONE
coriandre | 30 g 1 tasse de coriandre fraiche ciselee @ INGREDIENT
fraiche | 30 g 1 tasse de coriandre fraiche ciselee @ NONE
ciselee | 30 g 1 tasse de coriandre fraiche ciselee @ NONE
½ | ½  piment fresno, epepine et emince @ QUANTITY
 | ½  piment fresno, epepine et emince @ NONE
piment | ½  piment fresno, epepine et emince @ INGREDIENT
fresno | ½  piment fresno, epepine et emince @ INGREDIENT
epepine | ½  piment fresno, epepine et emince @ NONE
et | ½  piment fresno, epepine et emince @ NONE
emince | ½  piment fresno, epepine et emince @ NONE
60 | 60 ml ¼ tasse d'huile d'olive @ QUANTITY
ml | 60 ml ¼ tasse d'huile d'olive @ UNIT
¼ | 60 ml ¼ tasse d'huile d'olive @ NONE
tasse | 60 ml ¼ tasse d'huile d'olive @ NONE
d' | 60 ml ¼ tasse d'huile d'olive @ NONE
huile | 60 ml ¼ tasse d'huile d'olive @ INGREDIENT
d' | 60 ml ¼ tasse d'huile d'olive @ NONE
olive | 60 ml ¼ tasse d'huile d'olive @ NONE
8 | 8  tostadas voir note @ QUANTITY
 | 8  tostadas voir note @ NONE
tostadas | 8  tostadas voir note @ INGREDIENT
voir | 8  tostadas voir note @ NONE
note | 8  tostadas voir note @ NONE
125 | 125 ml ½ tasse de creme sure @ QUANTITY
ml | 125 ml ½ tasse de creme sure @ UNIT
½ | 125 ml ½ tasse de creme sure @ NONE
tasse | 125 ml ½ tasse de creme sure @ NONE
de | 125 ml ½ tasse de creme sure @ NONE
creme | 125 ml ½ tasse de creme sure @ INGREDIENT
sure | 125 ml ½ tasse de creme sure @ INGREDIENT
Sel | Sel et poivre @ INGREDIENT
et | Sel et poivre @ AND
poivre | Sel et poivre @ INGREDIENT
340 | 340 g 3/4 lb de pommes de terre grelots @ QUANTITY
g | 340 g 3/4 lb de pommes de terre grelots @ UNIT
3/4 | 340 g 3/4 lb de pommes de terre grelots @ NONE
lb | 340 g 3/4 lb de pommes de terre grelots @ NONE
de | 340 g 3/4 lb de pommes de terre grelots @ NONE
pommes | 340 g 3/4 lb de pommes de terre grelots @ INGREDIENT
de | 340 g 3/4 lb de pommes de terre grelots @ NONE
terre | 340 g 3/4 lb de pommes de terre grelots @ INGREDIENT
grelots | 340 g 3/4 lb de pommes de terre grelots @ INGREDIENT
2 | 2  carottes, pelees @ QUANTITY
 | 2  carottes, pelees @ NONE
carottes | 2  carottes, pelees @ INGREDIENT
pelees | 2  carottes, pelees @ NONE
2 | 2  branches de celeri @ QUANTITY
 | 2  branches de celeri @ NONE
branches | 2  branches de celeri @ NONE
de | 2  branches de celeri @ NONE
celeri | 2  branches de celeri @ INGREDIENT
1 | 1  bulbe de fenouil @ QUANTITY
 | 1  bulbe de fenouil @ NONE
bulbe | 1  bulbe de fenouil @ NONE
de | 1  bulbe de fenouil @ NONE
fenouil | 1  bulbe de fenouil @ INGREDIENT
1 | 1  poireau @ QUANTITY
 | 1  poireau @ NONE
poireau | 1  poireau @ INGREDIENT
500 | 500 ml 2 tasses de poulet ou de  bouillon de legumes @ QUANTITY
ml | 500 ml 2 tasses de poulet ou de  bouillon de legumes @ UNIT
2 | 500 ml 2 tasses de poulet ou de  bouillon de legumes @ NONE
tasses | 500 ml 2 tasses de poulet ou de  bouillon de legumes @ NONE
de | 500 ml 2 tasses de poulet ou de  bouillon de legumes @ NONE
poulet | 500 ml 2 tasses de poulet ou de  bouillon de legumes @ INGREDIENT
ou | 500 ml 2 tasses de poulet ou de  bouillon de legumes @ OR
de | 500 ml 2 tasses de poulet ou de  bouillon de legumes @ NONE
 | 500 ml 2 tasses de poulet ou de  bouillon de legumes @ NONE
bouillon | 500 ml 2 tasses de poulet ou de  bouillon de legumes @ INGREDIENT
de | 500 ml 2 tasses de poulet ou de  bouillon de legumes @ NONE
legumes | 500 ml 2 tasses de poulet ou de  bouillon de legumes @ INGREDIENT
 | 500 ml 2 tasses de poulet ou de  bouillon de legumes @ NONE
60 | 60 ml 1/4 tasse de vin blanc @ QUANTITY
ml | 60 ml 1/4 tasse de vin blanc @ UNIT
1/4 | 60 ml 1/4 tasse de vin blanc @ NONE
tasse | 60 ml 1/4 tasse de vin blanc @ NONE
de | 60 ml 1/4 tasse de vin blanc @ NONE
vin | 60 ml 1/4 tasse de vin blanc @ INGREDIENT
blanc | 60 ml 1/4 tasse de vin blanc @ INGREDIENT
675 | 675 g 1 1/2 lb de filet d'omble de fontaine ou d'omble chevalier sans la peau, coupe en 4 paves @ QUANTITY
g | 675 g 1 1/2 lb de filet d'omble de fontaine ou d'omble chevalier sans la peau, coupe en 4 paves @ UNIT
1 | 675 g 1 1/2 lb de filet d'omble de fontaine ou d'omble chevalier sans la peau, coupe en 4 paves @ NONE
1/2 | 675 g 1 1/2 lb de filet d'omble de fontaine ou d'omble chevalier sans la peau, coupe en 4 paves @ NONE
lb | 675 g 1 1/2 lb de filet d'omble de fontaine ou d'omble chevalier sans la peau, coupe en 4 paves @ NONE
de | 675 g 1 1/2 lb de filet d'omble de fontaine ou d'omble chevalier sans la peau, coupe en 4 paves @ NONE
filet | 675 g 1 1/2 lb de filet d'omble de fontaine ou d'omble chevalier sans la peau, coupe en 4 paves @ NONE
d' | 675 g 1 1/2 lb de filet d'omble de fontaine ou d'omble chevalier sans la peau, coupe en 4 paves @ NONE
omble | 675 g 1 1/2 lb de filet d'omble de fontaine ou d'omble chevalier sans la peau, coupe en 4 paves @ INGREDIENT
de | 675 g 1 1/2 lb de filet d'omble de fontaine ou d'omble chevalier sans la peau, coupe en 4 paves @ NONE
fontaine | 675 g 1 1/2 lb de filet d'omble de fontaine ou d'omble chevalier sans la peau, coupe en 4 paves @ INGREDIENT
ou | 675 g 1 1/2 lb de filet d'omble de fontaine ou d'omble chevalier sans la peau, coupe en 4 paves @ OR
d' | 675 g 1 1/2 lb de filet d'omble de fontaine ou d'omble chevalier sans la peau, coupe en 4 paves @ NONE
omble | 675 g 1 1/2 lb de filet d'omble de fontaine ou d'omble chevalier sans la peau, coupe en 4 paves @ INGREDIENT
chevalier | 675 g 1 1/2 lb de filet d'omble de fontaine ou d'omble chevalier sans la peau, coupe en 4 paves @ INGREDIENT
sans | 675 g 1 1/2 lb de filet d'omble de fontaine ou d'omble chevalier sans la peau, coupe en 4 paves @ NONE
la | 675 g 1 1/2 lb de filet d'omble de fontaine ou d'omble chevalier sans la peau, coupe en 4 paves @ NONE
peau, | 675 g 1 1/2 lb de filet d'omble de fontaine ou d'omble chevalier sans la peau, coupe en 4 paves @ NONE
coupe | 675 g 1 1/2 lb de filet d'omble de fontaine ou d'omble chevalier sans la peau, coupe en 4 paves @ NONE
en | 675 g 1 1/2 lb de filet d'omble de fontaine ou d'omble chevalier sans la peau, coupe en 4 paves @ NONE
4 paves | 675 g 1 1/2 lb de filet d'omble de fontaine ou d'omble chevalier sans la peau, coupe en 4 paves @ NONE
Huile | Huile d'olive facultatif @ INGREDIENT
d' | Huile d'olive facultatif @ NONE
olive | Huile d'olive facultatif @ NONE
facultatif | Huile d'olive facultatif @ NONE
Sel | Sel et poivre @ INGREDIENT
et | Sel et poivre @ AND
poivre | Sel et poivre @ INGREDIENT
4 | 4 filets de poisson blanc @ QUANTITY
filets | 4 filets de poisson blanc @ NONE
de | 4 filets de poisson blanc @ NONE
poisson | 4 filets de poisson blanc @ INGREDIENT
blanc | 4 filets de poisson blanc @ INGREDIENT
1 | 1 boites de lait de coco @ QUANTITY
boites | 1 boites de lait de coco @ UNIT
de | 1 boites de lait de coco @ NONE
lait | 1 boites de lait de coco @ INGREDIENT
de | 1 boites de lait de coco @ NONE
coco | 1 boites de lait de coco @ INGREDIENT
4 | 4 tomates @ QUANTITY
tomates | 4 tomates @ INGREDIENT
1 | 1 oignons @ QUANTITY
oignons | 1 oignons @ INGREDIENT
curcuma | curcuma facultatif @ INGREDIENT
facultatif | curcuma facultatif @ NONE
3 | 3  blancs d'oeufs @ QUANTITY
 | 3  blancs d'oeufs @ NONE
blancs | 3  blancs d'oeufs @ NONE
d' | 3  blancs d'oeufs @ NONE
oeufs | 3  blancs d'oeufs @ INGREDIENT
870 | 870 g 3 tasses de gros sel @ QUANTITY
g | 870 g 3 tasses de gros sel @ UNIT
3 | 870 g 3 tasses de gros sel @ NONE
tasses | 870 g 3 tasses de gros sel @ NONE
de | 870 g 3 tasses de gros sel @ NONE
gros | 870 g 3 tasses de gros sel @ NONE
sel | 870 g 3 tasses de gros sel @ INGREDIENT
1 | 1  poisson blanc entier d'environ 675 g 1 1/2 lb,  vide et ecaille vivaneau, bar, dore @ QUANTITY
 | 1  poisson blanc entier d'environ 675 g 1 1/2 lb,  vide et ecaille vivaneau, bar, dore @ NONE
poisson | 1  poisson blanc entier d'environ 675 g 1 1/2 lb,  vide et ecaille vivaneau, bar, dore @ INGREDIENT
blanc | 1  poisson blanc entier d'environ 675 g 1 1/2 lb,  vide et ecaille vivaneau, bar, dore @ INGREDIENT
entier | 1  poisson blanc entier d'environ 675 g 1 1/2 lb,  vide et ecaille vivaneau, bar, dore @ NONE
d'environ | 1  poisson blanc entier d'environ 675 g 1 1/2 lb,  vide et ecaille vivaneau, bar, dore @ NONE
675 | 1  poisson blanc entier d'environ 675 g 1 1/2 lb,  vide et ecaille vivaneau, bar, dore @ NONE
g | 1  poisson blanc entier d'environ 675 g 1 1/2 lb,  vide et ecaille vivaneau, bar, dore @ NONE
1/2 | 1  poisson blanc entier d'environ 675 g 1 1/2 lb,  vide et ecaille vivaneau, bar, dore @ NONE
lb, | 1  poisson blanc entier d'environ 675 g 1 1/2 lb,  vide et ecaille vivaneau, bar, dore @ NONE
 | 1  poisson blanc entier d'environ 675 g 1 1/2 lb,  vide et ecaille vivaneau, bar, dore @ NONE
vide | 1  poisson blanc entier d'environ 675 g 1 1/2 lb,  vide et ecaille vivaneau, bar, dore @ NONE
et | 1  poisson blanc entier d'environ 675 g 1 1/2 lb,  vide et ecaille vivaneau, bar, dore @ NONE
ecaille | 1  poisson blanc entier d'environ 675 g 1 1/2 lb,  vide et ecaille vivaneau, bar, dore @ NONE
vivaneau, | 1  poisson blanc entier d'environ 675 g 1 1/2 lb,  vide et ecaille vivaneau, bar, dore @ NONE
bar, | 1  poisson blanc entier d'environ 675 g 1 1/2 lb,  vide et ecaille vivaneau, bar, dore @ NONE
dore | 1  poisson blanc entier d'environ 675 g 1 1/2 lb,  vide et ecaille vivaneau, bar, dore @ NONE
1 | 1  oignon vert, coupe en troncons @ QUANTITY
 | 1  oignon vert, coupe en troncons @ NONE
oignon | 1  oignon vert, coupe en troncons @ INGREDIENT
vert | 1  oignon vert, coupe en troncons @ INGREDIENT
coupe | 1  oignon vert, coupe en troncons @ NONE
en | 1  oignon vert, coupe en troncons @ NONE
troncons | 1  oignon vert, coupe en troncons @ NONE
3 | 3  gousses d'ail, pelees @ QUANTITY
 | 3  gousses d'ail, pelees @ NONE
gousses | 3  gousses d'ail, pelees @ NONE
d' | 3  gousses d'ail, pelees @ NONE
ail, | 3  gousses d'ail, pelees @ INGREDIENT
pelees | 3  gousses d'ail, pelees @ NONE
3 | 3  feuilles de laurier @ QUANTITY
 | 3  feuilles de laurier @ NONE
feuilles | 3  feuilles de laurier @ NONE
de | 3  feuilles de laurier @ NONE
laurier | 3  feuilles de laurier @ INGREDIENT
1 | 1  branche de thym frais @ QUANTITY
 | 1  branche de thym frais @ NONE
